AUC1,dim1,selector1,AUC2,dim2,selector2,AUC3,dim3,selector3,,,,,,,,,,
0.6407,10,Relief,0.5062,10,Relief,0.6432,10,Relief,,,,,,,,,,
0.689,20,Relief,0.5514,20,Relief,0.6731,20,Relief,,,0.6432,0.6731,0.6723,0.6715,0.6782,0.6796,0.6729,0.6704
0.6737,30,Relief,0.5381,30,Relief,0.6723,30,Relief,,,0.5434,0.5625,0.5554,0.6829,0.6785,0.6789,0.6729,0.6704
0.6765,40,Relief,0.5384,40,Relief,0.6715,40,Relief,,,0.6864,0.6809,0.6873,0.6873,0.6747,0.6724,0.6705,0.6704
0.663,50,Relief,0.5569,50,Relief,0.6782,50,Relief,,,0.6754,0.6772,0.6829,0.6747,0.6768,0.6727,0.6722,0.6704
0.6568,60,Relief,0.5331,60,Relief,0.6796,60,Relief,,,,,,,,,,
0.6556,70,Relief,0.5353,70,Relief,0.6729,70,Relief,,,,,,,,,,
0.6487,78,Relief,0.5378,78,Relief,0.6704,78,Relief,,,,,,,,,,
0.5123,10,mRMR,0.5076,10,mRMR,0.5434,10,mRMR,,,,,,,,,,
0.5258,20,mRMR,0.4949,20,mRMR,0.5625,20,mRMR,,,,,,,,,,
0.5257,30,mRMR,0.5185,30,mRMR,0.5554,30,mRMR,,,,,,,,,,
0.6423,40,mRMR,0.5273,40,mRMR,0.6829,40,mRMR,,,,,,,,,,
0.6729,50,mRMR,0.5438,50,mRMR,0.6785,50,mRMR,,,,,,,,,,
0.6627,60,mRMR,0.5383,60,mRMR,0.6789,60,mRMR,,,,,,,,,,
0.6671,70,mRMR,0.538,70,mRMR,0.6729,70,mRMR,,,,,,,,,,
0.6487,78,mRMR,0.5378,78,mRMR,0.6704,78,mRMR,,,,,,,,,,
0.5679,2,RFE,0.5298,10,RFE,0.6864,10,RFE,,,,,,,,,,
0.6877,10,RFE,0.5294,20,RFE,0.6809,20,RFE,,,,,,,,,,
0.6853,20,RFE,0.5341,30,RFE,0.6873,30,RFE,,,,,,,,,,
0.678,30,RFE,0.5366,40,RFE,0.6873,40,RFE,,,,,,,,,,
0.6797,40,RFE,0.5517,50,RFE,0.6747,50,RFE,,,,,,,,,,
0.67,50,RFE,0.5322,60,RFE,0.6724,60,RFE,,,,,,,,,,
0.6748,60,RFE,0.5397,70,RFE,0.6705,70,RFE,,,,,,,,,,
0.6512,70,RFE,0.5378,78,RFE,0.6704,78,RFE,,,,,,,,,,
0.6487,78,RFE,0.5312,10,SelectFromModel,0.6754,10,SelectFromModel,,,,,,,,,,
0.6666,10,SelectFromModel,0.535,20,SelectFromModel,0.6772,20,SelectFromModel,,,,,,,,,,
0.6565,20,SelectFromModel,0.5365,30,SelectFromModel,0.6829,30,SelectFromModel,,,,,,,,,,
0.6559,30,SelectFromModel,0.5253,40,SelectFromModel,0.6747,40,SelectFromModel,,,,,,,,,,
0.6766,40,SelectFromModel,0.5435,50,SelectFromModel,0.6768,50,SelectFromModel,,,,,,,,,,
0.6862,50,SelectFromModel,0.5292,60,SelectFromModel,0.6727,60,SelectFromModel,,,,,,,,,,
0.6838,60,SelectFromModel,0.5343,70,SelectFromModel,0.6722,70,SelectFromModel,,,,,,,,,,
0.6766,70,SelectFromModel,0.5378,78,SelectFromModel,0.6704,78,SelectFromModel,,,,,,,,,,
0.6487,78,SelectFromModel,,,,,,,,,,,,,,,,
