AUC,dim,selector
0.6407,10,Relief
0.689,20,Relief
0.6737,30,Relief
0.6765,40,Relief
0.663,50,Relief
0.6568,60,Relief
0.6556,70,Relief
0.6487,78,Relief
0.5123,10,mRMR
0.5258,20,mRMR
0.5257,30,mRMR
0.6423,40,mRMR
0.6729,50,mRMR
0.6627,60,mRMR
0.6671,70,mRMR
0.6487,78,mRMR
0.5679,2,RFE
0.6877,10,RFE
0.6853,20,RFE
0.678,30,RFE
0.6797,40,RFE
0.67,50,RFE
0.6748,60,RFE
0.6512,70,RFE
0.6487,78,RFE
0.6666,10,SelectFromModel
0.6565,20,SelectFromModel
0.6559,30,SelectFromModel
0.6766,40,SelectFromModel
0.6862,50,SelectFromModel
0.6838,60,SelectFromModel
0.6766,70,SelectFromModel
0.6487,78,SelectFromModel
